Associationtype,Boardname,Companyname,Directorname,Overlapyearstart,Overlapyearend,Role,Associatedrole,Conncompanyorgtype,Boardid,Companyid,Directorid,Roletitle,Roleboardposition,Roleedflag,Overlapyearstart_int,Overlapyearend_int,Startcompanydatestartrole,Startcompanydateendrole,Conncompanydatestartrole,Conncompanydateendrole,Orgtype
Unlisted Org,FIRST BANCORP NC,Carter Funeral Home Inc,Jack Briggs,1998,2001,Chairman (Brd) (SD),President (Non-Brd),Private,28,606650,335970,Chairman,Brd,SD,1998,2001,1996-01-01,2001-05-01,1998-01-01,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2000,2013,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335983,Executive VP,Brd,ED,2000,2013,2000-09-14,2013-05-09,2000-09-14,2013-05-09,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Doctor Henry Bruton,2000,2007,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,28,1560181,335980,Independent Director,Brd,SD,2000,2007,2000-09-14,2007-05-02,2000-09-14,2007-05-02,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Walt Brown,2003,2013,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335975,Executive VP,Brd,ED,2003,2013,2013-05-09,2015-01-01,2013-05-09,2015-01-01,Quoted
Other,FIRST BANCORP NC,Global TransPark Foundation Inc,George Perkins Jr,2012,2015,Independent Director (Brd) (SD),Member,Private,28,605290,335990,Independent Director,Brd,SD,2012,2015,1996-01-01,2004-04-29,,,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2005,2006,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,28,1571910,335993,Independent Director,Brd,SD,2005,2006,2000-09-14,2009-01-01,,2006-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2000,2009,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335993,Independent Director,Brd,SD,2000,2009,2013-02-06,2021-05-06,2013-02-06,2021-05-06,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Fred Taylor,1983,2005,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335999,Independent Director,Brd,SD,1983,2005,1983-01-01,2005-05-05,1978-01-01,2005-05-05,Quoted
Unlisted Org,FIRST BANCORP NC,Capel Inc,Mary Capel,2005,2013,Independent Director (Brd) (SD),Director - Admin (Non-Brd),Private,28,606907,336025,Independent Director,Brd,SD,2005,2013,2017-02-15,,1999-01-01,2017-09-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Jack Briggs,1983,1996,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335970,Director - SD,Brd,SD,1983,1996,1983-12-08,1996-01-01,1976-01-01,2015-05-07,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2013,2014,Executive VP (Non-Brd),Executive VP (Non-Brd),Private,28,1560181,335983,Executive VP,Non-Brd,,2013,2014,2000-09-14,2013-05-09,2000-09-14,2013-05-09,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Jack Briggs,2001,2015,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335970,Independent Director,Brd,SD,2001,2015,2001-05-01,2015-05-07,1976-01-01,2015-05-07,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2013,2021,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335993,Independent Director,Brd,SD,2013,2021,2000-09-14,2009-01-01,2000-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,J Briggs Inc,Jack Briggs,2010,2015,Independent Director (Brd) (SD),President (Non-Brd),Private,28,606652,335970,Independent Director,Brd,SD,2010,2015,2001-05-01,2015-05-07,,,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2014,2014,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1571910,335993,Independent Director,Brd,SD,2014,2014,2013-02-06,2021-05-06,2014-01-01,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Fletcher Industries Inc,Ted Taws Jr,2000,2001,Independent Director (Brd) (SD),Chairman (Brd) (SD),Private,28,606985,335996,Independent Director,Brd,SD,2000,2001,1986-01-01,2007-05-02,2000-01-01,,Quoted
Unlisted Org,FIRST BANCORP NC,Morrisette Paper Inc,Jordan Washburn,2000,2001,Independent Director (Brd) (SD),Sales Representative (Non-Brd),Private,28,607012,336004,Independent Director,Brd,SD,2000,2001,1995-01-01,2006-01-01,,2001-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2013,2021,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335993,Independent Director,Brd,SD,2013,2021,2000-09-14,2009-01-01,2013-02-06,2021-05-06,Quoted
Unlisted Org,FIRST BANCORP NC,Davidson Funeral Home Inc,Jack Briggs,1996,2001,Chairman (Brd) (SD),Secretary (Non-Brd),Private,28,606649,335970,Chairman,Brd,SD,1996,2001,1996-01-01,2001-05-01,1989-01-01,,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2006,2009,Independent Director (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Director,Brd,SD,2006,2009,2000-09-14,2009-01-01,2012-01-01,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2000,2009,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335993,Independent Director,Brd,SD,2000,2009,2013-02-06,2021-05-06,2000-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2012,2013,Independent Chairman (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Chairman,Brd,SD,2012,2013,2009-01-01,2013-02-06,2006-01-01,2009-01-01,Quoted
Other,FIRST BANCORP NC,North Carolina Association of Certified Public Accountants,Ginny Thomasson,2014,2024,Independent Director (Brd) (SD),Member,Private,28,603807,336002,Independent Director,Brd,SD,2014,2024,2000-09-14,2024-05-02,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Jordan Washburn,1995,2006,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,336004,Independent Director,Brd,SD,1995,2006,1995-01-01,2006-01-01,1994-01-01,2009-05-07,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Mary Capel,2017,Curr,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,28,1560181,336025,Independent Director,Brd,SD,2017,,2017-02-15,,2005-05-05,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,James Hudson Jr,2001,2008,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335989,Executive VP,Brd,ED,2001,2008,2001-05-17,2008-05-01,2001-05-17,2008-05-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Lee McLaurin,2010,2016,Executive VP/Controller (Non-Brd),Executive VP/Controller (Non-Brd),Private,28,1560181,336024,Executive VP/Controller,Non-Brd,,2010,2016,2010-01-01,2016-01-01,2010-01-01,2016-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tim Maples,2005,2010,Senior VP/Assistant Secretary  (Non-Brd),Senior VP/Chief Investment Officer (Non-Brd),Private,28,1560181,336021,Senior VP/Assistant Secretary,Non-Brd,,2005,2010,2005-01-01,2010-01-01,2000-09-01,2010-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2013,2014,Executive VP (Non-Brd),Executive VP (Non-Brd),Private,28,1560181,335983,Executive VP,Non-Brd,,2013,2014,2013-05-09,2014-01-01,2000-09-14,2013-05-09,Quoted
Unlisted Org,FIRST BANCORP NC,Capel Inc,Mary Capel,2013,2017,Independent Chairman (Brd) (SD),Director - Admin (Non-Brd),Private,28,606907,336025,Independent Chairman,Brd,SD,2013,2017,2013-02-06,2017-02-15,1999-01-01,2017-09-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2013,2014,Executive VP (Non-Brd),Executive VP (Non-Brd),Private,28,1560181,335983,Executive VP,Non-Brd,,2013,2014,2000-09-14,2013-05-09,2013-05-09,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank Missouri,Jerry Arnold,1986,2009,Senior VP - Ops (Non-Brd),Senior VP - Ops (Non-Brd),Private,28,606623,336011,Senior VP - Ops,Non-Brd,,1986,2009,1986-01-01,2009-01-01,1986-01-01,2009-01-01,Quoted
Other,FIRST BANCORP NC,Denton Lions Club,Jack Briggs,2012,2015,Independent Director (Brd) (SD),Member,Clubs,28,1798797,335970,Independent Director,Brd,SD,2012,2015,2001-05-01,2015-05-07,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Lee McLaurin,2001,2010,Senior VP/Controller (Non-Brd),Senior VP/Controller (Non-Brd),Private,28,1560181,336024,Senior VP/Controller,Non-Brd,,2001,2010,2001-01-01,2010-01-01,2001-01-01,2010-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Anna Hollers,1983,1994,Company Secretary (Non-Brd),Company Secretary (Non-Brd),Private,28,1560181,336007,Company Secretary,Non-Brd,,1983,1994,1983-01-01,1994-01-01,1983-01-01,1994-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Perkins Investments LLC,George Perkins Jr,2012,2015,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,28,1814856,335990,Independent Director,Brd,SD,2012,2015,2007-05-02,2015-05-07,,,Quoted
Unlisted Org,FIRST BANCORP NC,Moore Free Care Clinic,Doctor Henry Bruton,2003,2007,Independent Director (Brd) (SD),Chairman (Executive) (Brd) (ED),Private,28,606736,335980,Independent Director,Brd,SD,2003,2007,2000-09-14,2007-05-02,,,Quoted
Listed Org,FIRST BANCORP NC,UNIFI INC,George Perkins Jr,2007,2014,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Quoted,28,31723,335990,Independent Director,Brd,SD,2007,2014,1996-01-01,2004-04-29,2007-08-08,2014-10-22,Quoted
Other,FIRST BANCORP NC,Central United Methodist Church,Jack Briggs,2012,2015,Independent Director (Brd) (SD),Member,Clubs,28,1293797,335970,Independent Director,Brd,SD,2012,2015,2001-05-01,2015-05-07,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Eric Credle,2008,2021,Executive VP/CFO (Non-Brd),Executive VP/CFO (Non-Brd),Private,28,1560181,336012,Executive VP/CFO,Non-Brd,,2008,2021,2008-03-25,2021-11-12,2008-03-25,2021-11-12,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Mary Capel,2005,2013,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,28,1560181,336025,Independent Director,Brd,SD,2005,2013,2017-02-15,,2005-05-05,,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2006,2009,Independent Director (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Director,Brd,SD,2006,2009,2000-09-14,2009-01-01,2006-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2014,2014,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1571910,335993,Independent Director,Brd,SD,2014,2014,2000-09-14,2009-01-01,2014-01-01,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank Missouri,Goldie Wallace-Gainey,1997,2012,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,606623,335987,Independent Director,Brd,SD,1997,2012,1997-04-24,2012-05-10,1997-04-24,2012-05-10,Quoted
Unlisted Org,FIRST BANCORP NC,North Carolina Medical Society,Doctor Henry Bruton,2005,2006,Independent Director (Brd) (SD),Director - Non-Brd (Non-Brd),Clubs,28,606734,335980,Independent Director,Brd,SD,2005,2006,2000-09-14,2007-05-02,,2006-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Ginny Thomasson,2000,2024,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,336002,Independent Director,Brd,SD,2000,2024,2000-09-14,2024-05-02,2000-09-14,2024-05-02,Quoted
Unlisted Org,FIRST BANCORP NC,Frontier Spinning Mills Inc,George Perkins Jr,1996,2004,Independent Director (Brd) (SD),Chairman/CEO (Brd) (ED),Private,28,606920,335990,Independent Director,Brd,SD,1996,2004,1996-01-01,2004-04-29,1996-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Briggs Funeral Home,Jack Briggs,1983,1996,Director - SD (Brd) (SD),President (Non-Brd),Private,28,1798808,335970,Director - SD,Brd,SD,1983,1996,1983-12-08,1996-01-01,1980-01-01,,Quoted
Unlisted Org,FIRST BANCORP NC,US Department of Health and Human Services (HSS),Doctor Henry Bruton,2000,2001,Independent Director (Brd) (SD),Secretary (Non-Brd),Government,28,79164,335980,Independent Director,Brd,SD,2000,2001,2000-09-14,2007-05-02,1997-01-01,2001-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2013,2014,Independent Director (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Director,Brd,SD,2013,2014,2000-09-14,2009-01-01,2006-01-01,2009-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Walt Brown,2013,2015,Executive VP (Non-Brd),Executive VP (Non-Brd),Private,28,1560181,335975,Executive VP,Non-Brd,,2013,2015,2003-04-24,2013-05-09,2013-05-09,2015-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Mary Capel,2017,Curr,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,28,1560181,336025,Independent Director,Brd,SD,2017,,2005-05-05,2013-02-06,2005-05-05,,Quoted
Unlisted Org,FIRST BANCORP NC,Phillips Ford,Tommy Phillips,2013,2021,Independent Director (Brd) (SD),President (Non-Brd),Private,28,606966,335993,Independent Director,Brd,SD,2013,2021,2000-09-14,2009-01-01,1970-06-01,,Quoted
Unlisted Org,FIRST BANCORP NC,Holden Thomasson & Longfellow PC,Ginny Thomasson,2000,2016,Independent Director (Brd) (SD),Partner (Non-Brd),Private,28,607009,336002,Independent Director,Brd,SD,2000,2016,2000-09-14,2024-05-02,1989-07-01,2016-12-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Mary Capel,2005,2013,Independent Director (Brd) (SD),Independent Director (Brd) (SD),Private,28,1560181,336025,Independent Director,Brd,SD,2005,2013,2005-05-05,2013-02-06,2005-05-05,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2000,2009,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335993,Independent Director,Brd,SD,2000,2009,2000-09-14,2009-01-01,2000-01-01,2009-01-01,Quoted
Other,FIRST BANCORP NC,Moore County Hounds Inc,Ginny Thomasson,2014,2024,Independent Director (Brd) (SD),Secretary/Treasurer,Private,28,2171581,336002,Independent Director,Brd,SD,2014,2024,2000-09-14,2024-05-02,,,Quoted
Other,FIRST BANCORP NC,St Joseph of the Pines,Ted Taws Jr,1986,1990,Independent Director (Brd) (SD),Director - SD,Clubs,28,2171180,335996,Independent Director,Brd,SD,1986,1990,1986-01-01,2007-05-02,,,Quoted
Unlisted Org,FIRST BANCORP NC,Troy Lumber Co,Fred Taylor II,2005,2007,Independent Director (Brd) (SD),Various Positions (Non-Brd),Private,28,607004,336027,Independent Director,Brd,SD,2005,2007,2005-05-05,,1992-01-01,2007-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2000,2009,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335993,Independent Director,Brd,SD,2000,2009,2000-09-14,2009-01-01,2013-02-06,2021-05-06,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2012,2013,Independent Chairman (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Chairman,Brd,SD,2012,2013,2009-01-01,2013-02-06,2012-01-01,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2006,2009,Independent Director (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Director,Brd,SD,2006,2009,2013-02-06,2021-05-06,2012-01-01,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Anna Hollers,2005,2014,Executive VP/COO/Secretary (Non-Brd),Executive VP/COO/Secretary (Non-Brd),Private,28,1560181,336007,Executive VP/COO/Secretary,Non-Brd,,2005,2014,2005-09-27,2014-03-31,2005-09-27,2014-04-01,Quoted
Unlisted Org,FIRST BANCORP NC,Capel Inc,Mary Capel,2017,2017,Independent Director (Brd) (SD),Director - Admin (Non-Brd),Private,28,606907,336025,Independent Director,Brd,SD,2017,2017,2005-05-05,2013-02-06,1999-01-01,2017-09-01,Quoted
Other,FIRST BANCORP NC,Campbell University,Fred Taylor II,2015,Curr,Independent Director (Brd) (SD),Trustee,Universities,28,465047,336027,Independent Director,Brd,SD,2015,,2005-05-05,,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2000,2013,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335983,Executive VP,Brd,ED,2000,2013,2000-09-14,2013-05-09,2013-05-09,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,John Burns Jr,2000,2013,Executive VP (Brd) (ED),Executive VP (Brd) (ED),Private,28,1560181,335983,Executive VP,Brd,ED,2000,2013,2013-05-09,2014-01-01,2013-05-09,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Davidson Funeral Home Inc,Jack Briggs,1989,1996,Director - SD (Brd) (SD),Secretary (Non-Brd),Private,28,606649,335970,Director - SD,Brd,SD,1989,1996,1983-12-08,1996-01-01,1989-01-01,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Jordan Washburn,2006,2009,Director - SD (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,336004,Director - SD,Brd,SD,2006,2009,2006-01-01,2009-05-07,1994-01-01,2009-05-07,Quoted
Unlisted Org,FIRST BANCORP NC,Phillips Ford,Tommy Phillips,2000,2009,Independent Director (Brd) (SD),President (Non-Brd),Private,28,606966,335993,Independent Director,Brd,SD,2000,2009,2013-02-06,2021-05-06,1970-06-01,,Quoted
Unlisted Org,FIRST BANCORP NC,Briggs Funeral Home,Jack Briggs,2001,2015,Independent Director (Brd) (SD),President (Non-Brd),Private,28,1798808,335970,Independent Director,Brd,SD,2001,2015,2001-05-01,2015-05-07,1980-01-01,,Quoted
Other,FIRST BANCORP NC,Global TransPark Foundation Inc,George Perkins Jr,2012,2015,Independent Director (Brd) (SD),Member,Private,28,605290,335990,Independent Director,Brd,SD,2012,2015,2007-05-02,2015-05-07,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2009,2013,Independent Chairman (Brd) (SD),Chairman (Brd) (SD),Private,28,1560181,335993,Independent Chairman,Brd,SD,2009,2013,2009-01-01,2013-02-06,2009-01-01,2013-02-06,Quoted
Unlisted Org,FIRST BANCORP NC,Phillips Ford,Tommy Phillips,2013,2021,Independent Director (Brd) (SD),President (Non-Brd),Private,28,606966,335993,Independent Director,Brd,SD,2013,2021,2013-02-06,2021-05-06,1970-06-01,,Quoted
Unlisted Org,FIRST BANCORP NC,Piedmont Funeral Home Inc,Jack Briggs,2001,2015,Independent Director (Brd) (SD),Secretary (Non-Brd),Private,28,606656,335970,Independent Director,Brd,SD,2001,2015,2001-05-01,2015-05-07,2001-01-01,,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2013,2014,Independent Director (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Director,Brd,SD,2013,2014,2013-02-06,2021-05-06,2012-01-01,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Capel Inc,Mary Capel,2005,2013,Independent Director (Brd) (SD),Director - Admin (Non-Brd),Private,28,606907,336025,Independent Director,Brd,SD,2005,2013,2005-05-05,2013-02-06,1999-01-01,2017-09-01,Quoted
Unlisted Org,FIRST BANCORP NC,Moore County Chamber of Commerce,Tommy Phillips,2013,2014,Independent Director (Brd) (SD),Vice Chairman - Finance (Brd) (ED),Private,28,1571910,335993,Independent Director,Brd,SD,2013,2014,2000-09-14,2009-01-01,2012-01-01,2014-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,James Hudson Jr,2008,2015,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335989,Independent Director,Brd,SD,2008,2015,2008-05-01,2015-05-07,2008-05-01,2015-05-07,Quoted
Other,FIRST BANCORP NC,St Mary's School,Mary Capel,2007,2011,Independent Director (Brd) (SD),Trustee,Universities,28,1003594,336025,Independent Director,Brd,SD,2007,2011,2005-05-05,2013-02-06,,,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tommy Phillips,2013,2021,Independent Director (Brd) (SD),Director - SD (Brd) (SD),Private,28,1560181,335993,Independent Director,Brd,SD,2013,2021,2013-02-06,2021-05-06,2013-02-06,2021-05-06,Quoted
Unlisted Org,FIRST BANCORP NC,First Bank of North Carolina,Tim Maples,2010,2017,Executive VP/Assistant Secretary (Non-Brd),Executive VP/Assistant Secretary (Non-Brd),Private,28,1560181,336021,Executive VP/Assistant Secretary,Non-Brd,,2010,2017,2010-01-01,2017-01-01,2010-01-01,2017-01-01,Quoted
Unlisted Org,FIRST BANCORP NC,Capel Inc,Mary Capel,2017,2017,Independent Director (Brd) (SD),Director - Admin (Non-Brd),Private,28,606907,336025,Independent Director,Brd,SD,2017,2017,2017-02-15,,1999-01-01,2017-09-01,Quoted
